,task_id,actv_code_type_id,actv_code_id,proj_id
0,90498,7319,13248,793
1,90498,7320,13250,793
2,90498,7321,13255,793
3,90499,7319,13248,793
4,90499,7320,13250,793
5,90499,7321,13255,793
6,90500,7319,13248,793
7,90500,7320,13250,793
8,90500,7321,13255,793
9,90501,7319,13248,793
10,90501,7320,13250,793
11,90501,7321,13256,793
12,90502,7319,13248,793
13,90502,7320,13250,793
14,90502,7321,13256,793
15,90503,7319,13248,793
16,90503,7320,13250,793
17,90503,7321,13256,793
18,90504,7319,13248,793
19,90504,7320,13250,793
20,90504,7321,13257,793
21,90505,7319,13248,793
22,90505,7320,13250,793
23,90505,7321,13257,793
24,90506,7319,13248,793
25,90506,7320,13250,793
26,90506,7321,13257,793
27,90507,7319,13248,793
28,90507,7320,13252,793
29,90508,7319,13248,793
30,90508,7320,13252,793
31,90542,7319,13246,793
32,90542,7320,13250,793
33,90542,7321,13255,793
34,90543,7319,13246,793
35,90543,7320,13250,793
36,90543,7321,13255,793
37,90544,7319,13246,793
38,90544,7320,13250,793
39,90544,7321,13255,793
40,90545,7319,13246,793
41,90545,7320,13250,793
42,90545,7321,13256,793
43,90546,7319,13246,793
44,90546,7320,13250,793
45,90546,7321,13256,793
46,90547,7319,13246,793
47,90547,7320,13250,793
48,90547,7321,13256,793
49,90548,7319,13246,793
50,90548,7320,13250,793
51,90548,7321,13257,793
52,90551,7319,13246,793
53,90551,7320,13250,793
54,90551,7321,13257,793
55,90552,7319,13246,793
56,90552,7320,13252,793
57,90553,7319,13246,793
58,90553,7320,13252,793
59,90554,7319,13246,793
60,90554,7320,13252,793
61,90555,7319,13246,793
62,90555,7320,13250,793
63,90555,7321,13255,793
64,90556,7319,13246,793
65,90556,7320,13250,793
66,90556,7321,13255,793
67,90557,7319,13246,793
68,90557,7320,13253,793
69,90558,7319,13246,793
70,90558,7320,13250,793
71,90558,7321,13255,793
72,90559,7319,13246,793
73,90559,7320,13250,793
74,90559,7321,13256,793
75,90560,7319,13246,793
76,90560,7320,13250,793
77,90560,7321,13256,793
78,90561,7319,13246,793
79,90561,7320,13250,793
80,90561,7321,13256,793
81,90562,7319,13246,793
82,90562,7320,13250,793
83,90562,7321,13257,793
84,90565,7319,13246,793
85,90565,7320,13250,793
86,90565,7321,13257,793
87,90566,7319,13246,793
88,90566,7320,13252,793
89,90567,7319,13246,793
90,90567,7320,13252,793
91,90568,7319,13246,793
92,90568,7320,13252,793
93,90570,7319,13246,793
94,90570,7320,13253,793
95,90578,7319,13246,793
96,90578,7320,13250,793
97,90578,7321,13255,793
98,90579,7319,13246,793
99,90579,7320,13250,793
100,90579,7321,13255,793
101,90581,7319,13246,793
102,90581,7320,13250,793
103,90581,7321,13257,793
104,90582,7319,13246,793
105,90582,7320,13250,793
106,90582,7321,13257,793
107,90583,7319,13246,793
108,90583,7320,13250,793
109,90583,7321,13255,793
110,90584,7319,13246,793
111,90584,7320,13250,793
112,90584,7321,13255,793
113,90585,7319,13246,793
114,90585,7320,13250,793
115,90585,7321,13257,793
116,90586,7319,13246,793
117,90586,7320,13250,793
118,90586,7321,13257,793
119,90726,7319,13246,793
120,90726,7320,13250,793
121,90726,7321,13255,793
122,90727,7319,13246,793
123,90727,7320,13250,793
124,90727,7321,13256,793
125,90728,7319,13246,793
126,90728,7320,13250,793
127,90728,7321,13256,793
128,90729,7319,13246,793
129,90729,7320,13250,793
130,90729,7321,13256,793
131,90730,7319,13246,793
132,90730,7320,13250,793
133,90730,7321,13257,793
134,90731,7319,13246,793
135,90731,7320,13250,793
136,90731,7321,13257,793
137,90732,7319,13246,793
138,90732,7320,13250,793
139,90732,7321,13257,793
140,90733,7319,13246,793
141,90733,7320,13250,793
142,90733,7321,13257,793
143,90735,7319,13246,793
144,90735,7320,13250,793
145,90735,7321,13255,793
146,90736,7319,13246,793
147,90736,7320,13250,793
148,90736,7321,13256,793
149,90737,7319,13246,793
150,90737,7320,13250,793
151,90737,7321,13256,793
152,90738,7319,13246,793
153,90738,7320,13250,793
154,90738,7321,13256,793
155,90739,7319,13246,793
156,90739,7320,13250,793
157,90739,7321,13257,793
158,90740,7319,13246,793
159,90740,7320,13250,793
160,90740,7321,13257,793
161,90741,7319,13246,793
162,90741,7320,13250,793
163,90741,7321,13257,793
164,90742,7319,13246,793
165,90742,7320,13250,793
166,90742,7321,13257,793
